-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(2048)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     108.906ms       104.82%     108.906ms      36.302ms             3  
                                      vllm::moe_forward        26.90%      29.375ms        34.94%      38.146ms     423.844us      49.433ms        47.58%      54.805ms     608.941us            90  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      49.010ms        47.17%      49.010ms     272.280us           180  
                                               aten::mm         5.96%       6.503ms         8.09%       8.833ms      19.498us      29.298ms        28.20%      29.298ms      64.675us           453  
               nvjet_sm90_tst_176x128_64x5_1x2_h_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       9.650ms         9.29%       9.650ms      53.608us           180  
         nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       9.567ms         9.21%       9.567ms     127.558us            75  
                    vllm::unified_attention_with_output        10.23%      11.172ms        12.40%      13.543ms     150.481us       9.167ms         8.82%       9.167ms     101.856us            90  
         nvjet_sm90_tst_128x256_64x4_1x2_h_bz_coopA_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       5.786ms         5.57%       5.786ms      64.284us            90  
kernel_cutlass_kernel_vllmvllm_flash_attncuteflash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       5.418ms         5.21%       5.418ms      72.244us            75  
                                     triton_red_fused_3         0.95%       1.035ms         1.23%       1.340ms      15.407us       4.024ms         3.87%       4.024ms      46.255us            87  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       4.024ms         3.87%       4.024ms      46.255us            87  
kernel_cutlass_kernel_vllmvllm_flash_attncuteflash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.749ms         3.61%       3.749ms     249.917us            15  
                    triton_red_fused_add_mul_rms_norm_2         1.30%       1.417ms         1.57%       1.715ms      19.058us       2.503ms         2.41%       2.503ms      27.807us            90  
                    triton_red_fused_add_mul_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.503ms         2.41%       2.503ms      27.807us            90  
         nvjet_sm90_tst_320x128_64x3_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.384ms         2.29%       2.384ms     158.937us            15  
                                        _moe_C::moe_sum         0.37%     405.142us         0.66%     719.521us       7.995us       2.324ms         2.24%       2.324ms      25.824us            90  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us       2.324ms         2.24%       2.324ms      25.824us            90  
